name,category,location,description,visitors,image,latitude,longitude
Museum Keramik dan Seni Rupa,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.13425,106.812
Museum Fatahillah,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",Museum Sejarah Jakarta pada mulanya digunakan sebagai gedung Balaikota (Stadhuis). Gedung n��y merupakan gedung Balaikota kedua yang dibangun pada masa pemerintahan VOC di Batav,0,,-6.13521,106.813
Museum Tekstil,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.18817,106.81
Masjid Jami Annawir,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.13663,106.803
Masjid Jami Al Anshor,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.13899,106.807
Masjid Jami Tambora,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.14561,106.811
Gereja Imanuel,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17672,106.832
Museum Perumusan Naskah Proklamasi,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.20036,106.831
Gedung Arsip Nasional,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.15379,106.817
Masjid Al Makmur,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.19113,106.843
Gedung Kantor Pos dan Giro Pasar Baru,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.1679,106.835
Gedung Kesenian,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16635,106.835
Gedung Istana Merdeka,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17037,106.824
Gedung Istana Negara,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16817,106.824
Gedung Bank Tabungan Negara,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16712,106.82
Gedung Gereja Kathedral,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16927,106.833
